,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
14,wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,163106.4740140700000000,,4941558025.1049275377673387,64408653.0385019472681083,30296.5167690318383489,1.1071613667360077,29995.3328453056071913,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
15,litecoin,16,LTC,Litecoin,73778426.7235888800000000,84000000.0000000000000000,4849887504.7234159281002885,122843848.9628618702846586,65.7358488124656754,1.4691410752546570,64.7839381620115711,http://explorer.litecoin.net/chain/Litecoin
16,bitcoin-cash,17,BCH,Bitcoin Cash,19535818.7500000000000000,21000000.0000000000000000,4833112961.2431266351041638,33145865.8953840035275318,247.3975123895499202,0.3052364793133910,244.5226743496488610,https://blockchair.com/bitcoin-cash/blocks
17,shiba-inu,18,SHIB,Shiba Inu,589346914631298.1000000000000000,,4230054685.3957066247192506,37303594.0347697667856290,0.0000071775291944,1.5963999603776352,0.0000070518582902,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
18,avalanche,19,AVAX,Avalanche,354832296.8414406000000000,720000000.0000000000000000,3570671551.9371089614377789,80493544.4002906753270020,10.0629835100176622,4.4366031189247428,9.8671711522741183,https://avascan.info/
19,trueusd,20,TUSD,TrueUSD,3366808449.0800000000000000,,3363638511.0200672257142016,54657424.0884490172756377,0.9990584738906667,-0.1103454410241272,0.9999745115566121,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
20,stellar,21,XLM,Stellar,27778409793.4288060000000000,50001806812.0000000000000000,3099668236.4202385453845645,46076309.7344363008174205,0.1115855176545595,0.1598655997758446,0.1100821781446358,https://dashboard.stellar.org/
21,monero,22,XMR,Monero,18346693.2849647300000000,,2916075951.2797253229774256,33368683.0910108384250926,158.9428626721238196,0.2322576438288590,158.2896641022632761,http://moneroblocks.info/
22,uniswap,23,UNI,Uniswap,577501031.0000000000000000,1000000000.0000000000000000,2492707820.4518266859526024,35640362.8479904829426904,4.3163694723374904,4.3686655984862251,4.1658003584531860,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
23,ethereum-classic,24,ETC,Ethereum Classic,143581828.4720910800000000,210700000.0000000000000000,2287728124.9697469709999311,30224229.7219004075217084,15.9332705908145427,1.8113858269662371,15.6317968091038212,http://gastracker.io/
